ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS
26	2	葛覃	2.1	6	其鳴喈b[kei]喈。（脂微合韵）	其 + 鳴 + 喈 + 喈	其 + 鳴 + 喈 + kei	b	喈	0 0 0 7
27	2	葛覃	2.2	1	葛之覃兮	葛 + 之 + 覃 + 兮	葛 + 之 + 覃 + 兮			0 0 0 0
28	2	葛覃	2.2	2	施于中A[kok]谷。（屋部）	施 + 于 + 中 + 谷	施 + 于 + 中 + kok	A	谷	0 0 0 8
29	2	葛覃	2.2	3	維葉莫b[mak]莫	維 + 葉 + 莫 + 莫	維 + 葉 + 莫 + mak	b	莫	0 0 0 9
30	2	葛覃	2.2	4	是刈是b[huak]濩。	是 + 刈 + 是 + 濩	是 + 刈 + 是 + huak	b	濩	0 0 0 9
31	2	葛覃	2.2	5	為絺為b[khyak]綌	為 + 絺 + 為 + 綌	為 + 絺 + 為 + khyak	b	綌	0 0 0 9
32	2	葛覃	2.2	6	服之無b[jyak]斁。（铎部）	服 + 之 + 無 + 斁	服 + 之 + 無 + jyak	b	斁	0 0 0 9
33	2	葛覃	2.3	1	言告師氏	言 + 告 + 師 + 氏	言 + 告 + 師 + 氏			0 0 0 0
34	2	葛覃	2.3	2	言告言a[kiuəi]歸。	言 + 告 + 言 + 歸	言 + 告 + 言 + kiuəi	a	歸	0 0 0 10
35	2	葛覃	2.3	3	薄污我私	薄 + 污 + 我 + 私	薄 + 污 + 我 + 私			0 0 0 0
36	2	葛覃	2.3	4	薄澣我a[iəi]衣。（微部）	薄 + 澣 + 我 + 衣	薄 + 澣 + 我 + iəi	a	衣	0 0 0 10
37	2	葛覃	2.3	5	害澣害b[piuə]否	害 + 澣 + 害 + 否	害 + 澣 + 害 + piuə	b	否	0 0 0 11
38	2	葛覃	2.3	6	歸寧父b[mə]母 。（之部）	歸 + 寧 + 父 + 母	歸 + 寧 + 父 + mə	b	母	0 0 0 11
39	3	卷耳	3.1	1	采采卷耳	采 + 采 + 卷 + 耳	采 + 采 + 卷 + 耳			0 0 0 0
40	3	卷耳	3.1	2	不盈頃a[khiuang]筐。	不 + 盈 + 頃 + 筐	不 + 盈 + 頃 + khiuang	a	筐	0 0 0 12
41	3	卷耳	3.1	3	嗟我懷人	嗟 + 我 + 懷 + 人	嗟 + 我 + 懷 + 人			0 0 0 0
42	3	卷耳	3.1	4	寘彼周a[heang]行。（阳部）	寘 + 彼 + 周 + 行	寘 + 彼 + 周 + heang	a	行	0 0 0 12
43	3	卷耳	3.2	1	陟彼崔a[nguəi]嵬	陟 + 彼 + 崔 + 嵬	陟 + 彼 + 崔 + nguəi	a	嵬	0 0 0 13
44	3	卷耳	3.2	2	我馬虺a[duəi]隤。	我 + 馬 + 虺 + 隤	我 + 馬 + 虺 + duəi	a	隤	0 0 0 13
45	3	卷耳	3.2	3	我姑酌彼金a[luəi]罍	我 + 姑 + 酌 + 彼 + 金 + 罍	我 + 姑 + 酌 + 彼 + 金 + luəi	a	罍	0 0 0 0 0 13
46	3	卷耳	3.2	4	維以不永a[hoəi]懷。（微部）	維 + 以 + 不 + 永 + 懷	維 + 以 + 不 + 永 + hoəi	a	懷	0 0 0 0 13
47	3	卷耳	3.3	1	陟彼高a[kang]岡	陟 + 彼 + 高 + 岡	陟 + 彼 + 高 + kang	a	岡	0 0 0 14
48	3	卷耳	3.3	2	我馬玄a[huang]黃。	我 + 馬 + 玄 + 黃	我 + 馬 + 玄 + huang	a	黃	0 0 0 14
49	3	卷耳	3.3	3	我姑酌彼兕a[koang]觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	我 + 姑 + 酌 + 彼 + 兕 + koang	a	觥	0 0 0 0 0 14
50	3	卷耳	3.3	4	維以不永a[sjiang]傷。（阳部）	維 + 以 + 不 + 永 + 傷	維 + 以 + 不 + 永 + sjiang	a	傷	0 0 0 0 14
51	3	卷耳	3.4	1	陟彼a[tsia]砠矣	陟 + 彼 + 砠 + 矣	陟 + 彼 + tsia + 矣	a	砠	0 0 15 0
52	3	卷耳	3.4	2	我馬a[da]瘏矣	我 + 馬 + 瘏 + 矣	我 + 馬 + da + 矣	a	瘏	0 0 15 0
53	3	卷耳	3.4	3						
54	3	卷耳	3.4	4	我僕a[phiua]痡矣	我 + 僕 + 痡 + 矣	我 + 僕 + phiua + 矣	a	痡	0 0 15 0
55	3	卷耳	3.4	5	云何a[xiua]吁矣。（鱼部）	云 + 何 + 吁 + 矣	云 + 何 + xiua + 矣	a	吁	0 0 15 0
56	4	樛木	4.1	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木			0 0 0 0
57	4	樛木	4.1	2	葛藟a[liuəi]纍之。	葛 + 藟 + 纍 + 之	葛 + 藟 + liuəi + 之	a	纍	0 0 16 0
58	4	樛木	4.1	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子			0 0 0 0
59	4	樛木	4.1	4	福履a[siuəi]綏之。（微部）	福 + 履 + 綏 + 之	福 + 履 + siuəi + 之	a	綏	0 0 16 0
60	4	樛木	4.2	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木			0 0 0 0
61	4	樛木	4.2	2	葛藟a[xuang]荒之。	葛 + 藟 + 荒 + 之	葛 + 藟 + xuang + 之	a	荒	0 0 17 0
62	4	樛木	4.2	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子			0 0 0 0
63	4	樛木	4.2	4	福履a[tziang]將之。（阳部）	福 + 履 + 將 + 之	福 + 履 + tziang + 之	a	將	0 0 17 0
64	4	樛木	4.3	1	南有樛木	南 + 有 + 樛 + 木	南 + 有 + 樛 + 木			0 0 0 0
65	4	樛木	4.3	2	葛藟a[lueng]<iueng?>縈之。	葛 + 藟 + 縈 + 之	葛 + 藟 + lueng + 之	a	縈	0 0 18 0
66	4	樛木	4.3	3	樂只君子	樂 + 只 + 君 + 子	樂 + 只 + 君 + 子			0 0 0 0
67	4	樛木	4.3	4	福履a[zjieng]成之。（耕部）	福 + 履 + 成 + 之	福 + 履 + zjieng + 之	a	成	0 0 18 0
68	5	螽斯	5.1	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽			0 0 0
69	5	螽斯	5.1	2	詵a[shən]詵兮。	詵 + 詵 + 兮	詵 + shən + 兮	a	詵	0 19 0
70	5	螽斯	5.1	3	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫			0 0 0 0
71	5	螽斯	5.1	4	振a[tjiən]振兮。（文部）	振 + 振 + 兮	振 + tjiən + 兮	a	振	0 19 0
72	5	螽斯	5.2	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽			0 0 0
73	5	螽斯	5.2	2	薨a[xuəng]薨兮。	薨 + 薨 + 兮	薨 + xuəng + 兮	a	薨	0 20 0
74	5	螽斯	5.2	3	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫			0 0 0 0
75	5	螽斯	5.2	4	繩a[djiəng]繩兮。（蒸部）	繩 + 繩 + 兮	繩 + djiəng + 兮	a	繩	0 20 0
76	5	螽斯	5.3	1	螽斯羽	螽 + 斯 + 羽	螽 + 斯 + 羽			0 0 0
77	5	螽斯	5.3	2	揖a[tziəp]揖兮。	揖 + 揖 + 兮	揖 + tziəp + 兮	a	揖	0 21 0
78	5	螽斯	5.3	3	宜爾子孫	宜 + 爾 + 子 + 孫	宜 + 爾 + 子 + 孫			0 0 0 0
79	5	螽斯	5.3	4	蟄a[diəp]蟄兮。（缉部）	蟄 + 蟄 + 兮	蟄 + diəp + 兮	a	蟄	0 21 0
80	6	桃夭	6.1	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭			0 0 0 0
81	6	桃夭	6.1	2	灼灼其a[hoa]華。	灼 + 灼 + 其 + 華	灼 + 灼 + 其 + hoa	a	華	0 0 0 22
82	6	桃夭	6.1	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
83	6	桃夭	6.1	4	宜其室a[kea]家。 （鱼部）	宜 + 其 + 室 + 家	宜 + 其 + 室 + kea	a	家	0 0 0 22
84	6	桃夭	6.2	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭			0 0 0 0
85	6	桃夭	6.2	2	有蕡其a[djiet]實。	有 + 蕡 + 其 + 實	有 + 蕡 + 其 + djiet	a	實	0 0 0 23
86	6	桃夭	6.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
87	6	桃夭	6.2	4	宜其家a[sjiet]室。（质部）	宜 + 其 + 家 + 室	宜 + 其 + 家 + sjiet	a	室	0 0 0 23
88	6	桃夭	6.3	1	桃之夭夭	桃 + 之 + 夭 + 夭	桃 + 之 + 夭 + 夭			0 0 0 0
89	6	桃夭	6.3	2	其葉蓁a[tzhen]蓁。	其 + 葉 + 蓁 + 蓁	其 + 葉 + 蓁 + tzhen	a	蓁	0 0 0 24
90	6	桃夭	6.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
91	6	桃夭	6.3	4	宜其家a[njien]人。（真部）	宜 + 其 + 家 + 人	宜 + 其 + 家 + njien	a	人	0 0 0 24
92	7	兔罝	7.1	1	肅肅兔a[tzia]罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + tzia	a	罝	0 0 0 25
93	7	兔罝	7.1	2	椓之丁b[teng]丁。（a= 鱼部）	椓 + 之 + 丁 + 丁	椓 + 之 + 丁 + teng	b	丁	0 0 0 26
94	7	兔罝	7.1	3	赳赳武a[piua]夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + piua	a	夫	0 0 0 25
95	7	兔罝	7.1	4	公侯干b[zjieng]城。（b= 耕部）	公 + 侯 + 干 + 城	公 + 侯 + 干 + zjieng	b	城	0 0 0 26
96	7	兔罝	7.2	1	肅肅兔a[tzia]罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + tzia	a	罝	0 0 0 27
97	7	兔罝	7.2	2	施于中b[giu]逵。（a= 鱼部）	施 + 于 + 中 + 逵	施 + 于 + 中 + giu	b	逵	0 0 0 28
98	7	兔罝	7.2	3	赳赳武a[piua]夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + piua	a	夫	0 0 0 27
99	7	兔罝	7.2	4	公侯好b[giu]仇。（b=幽部）	公 + 侯 + 好 + 仇	公 + 侯 + 好 + giu	b	仇	0 0 0 28
100	7	兔罝	7.3	1	肅肅兔a[tzia]罝	肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + tzia	a	罝	0 0 0 29
101	7	兔罝	7.3	2	施于中b[liəm]林。（a= 鱼部）	施 + 于 + 中 + 林	施 + 于 + 中 + liəm	b	林	0 0 0 30
102	7	兔罝	7.3	3	赳赳武a[piua]夫	赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + piua	a	夫	0 0 0 29
103	7	兔罝	7.3	4	公侯腹b[siəm]心。（b= 侵部）	公 + 侯 + 腹 + 心	公 + 侯 + 腹 + siəm	b	心	0 0 0 30
104	8	芣苡	8.1	1	采采芣a[jiə]苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + jiə	a	苢	0 0 0 31
105	8	芣苡	8.1	2	薄言b[tsə]采之。（a= 之部）	薄 + 言 + 采 + 之	薄 + 言 + tsə + 之	b	采	0 0 32 0
107	8	芣苡	8.1	4	薄言b[hiuə]有之。（b= 之部）	薄 + 言 + 有 + 之	薄 + 言 + hiuə + 之	b	有	0 0 32 0
108	8	芣苡	8.2	1	采采芣a[jiə]苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + jiə	a	苢	0 0 0 33
109	8	芣苡	8.2	2	薄言b[tuat]掇之。（a= 之部）	薄 + 言 + 掇 + 之	薄 + 言 + tuat + 之	b	掇	0 0 34 0
111	8	芣苡	8.2	4	薄言b[luat]捋之。（b= 月部）	薄 + 言 + 捋 + 之	薄 + 言 + luat + 之	b	捋	0 0 34 0
112	8	芣苡	8.3	1	采采芣a[jiə]苢	采 + 采 + 芣 + 苢	采 + 采 + 芣 + jiə	a	苢	0 0 0 35
113	8	芣苡	8.3	2	薄言b[kyet]袺之。（a= 之部）	薄 + 言 + 袺 + 之	薄 + 言 + kyet + 之	b	袺	0 0 36 0
115	8	芣苡	8.3	4	薄言b[hyet]襭之。（b= 质部）	薄 + 言 + 襭 + 之	薄 + 言 + hyet + 之	b	襭	0 0 36 0
116	9	漢廣	9.1	1	南有喬木	南 + 有 + 喬 + 木	南 + 有 + 喬 + 木			0 0 0 0
117	9	漢廣	9.1	2	不可a[xiu]休思。1	不 + 可 + 休 + 思	不 + 可 + xiu + 思	a	休	0 0 37 0
118	9	漢廣	9.1	3	漢有游女	漢 + 有 + 游 + 女	漢 + 有 + 游 + 女			0 0 0 0
119	9	漢廣	9.1	4	不可a[giu]求思。（幽部）	不 + 可 + 求 + 思	不 + 可 + giu + 思	a	求	0 0 37 0
120	9	漢廣	9.1	5	漢之b[kuang]廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + kuang + 矣	b	廣	0 0 38 0
121	9	漢廣	9.1	6	不可b[hyuang]泳思。	不 + 可 + 泳 + 思	不 + 可 + hyuang + 思	b	泳	0 0 38 0
122	9	漢廣	9.1	7	江之b[hyuang]永矣	江 + 之 + 永 + 矣	江 + 之 + hyuang + 矣	b	永	0 0 38 0
123	9	漢廣	9.1	8	不可b[piuang]方思。（阳部）	不 + 可 + 方 + 思	不 + 可 + piuang + 思	b	方	0 0 38 0
124	9	漢廣	9.2	1	翹翹錯薪	翹 + 翹 + 錯 + 薪	翹 + 翹 + 錯 + 薪			0 0 0 0
125	9	漢廣	9.2	2	言刈其a[tshia]楚。	言 + 刈 + 其 + 楚	言 + 刈 + 其 + tshia	a	楚	0 0 0 39
126	9	漢廣	9.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
127	9	漢廣	9.2	4	言秣其a[mea]馬。（鱼部）	言 + 秣 + 其 + 馬	言 + 秣 + 其 + mea	a	馬	0 0 0 39
128	9	漢廣	9.2	5	漢之b[kuang]廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + kuang + 矣	b	廣	0 0 40 0
129	9	漢廣	9.2	6	不可b[hyuang]泳思。	不 + 可 + 泳 + 思	不 + 可 + hyuang + 思	b	泳	0 0 40 0
130	9	漢廣	9.2	7	江之b[hyuang]永矣	江 + 之 + 永 + 矣	江 + 之 + hyuang + 矣	b	永	0 0 40 0
131	9	漢廣	9.2	8	不可b[piuang]方思。（阳部）	不 + 可 + 方 + 思	不 + 可 + piuang + 思	b	方	0 0 40 0
132	9	漢廣	9.3	1	翹翹錯薪	翹 + 翹 + 錯 + 薪	翹 + 翹 + 錯 + 薪			0 0 0 0
133	9	漢廣	9.3	2	言刈其a[lio]蔞。	言 + 刈 + 其 + 蔞	言 + 刈 + 其 + lio	a	蔞	0 0 0 41
134	9	漢廣	9.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
135	9	漢廣	9.3	4	言秣其a[kio]駒。（侯部）	言 + 秣 + 其 + 駒	言 + 秣 + 其 + kio	a	駒	0 0 0 41
136	9	漢廣	9.3	5	漢之b[kuang]廣矣	漢 + 之 + 廣 + 矣	漢 + 之 + kuang + 矣	b	廣	0 0 42 0
137	9	漢廣	9.3	6	不可b[hyuang]泳思。	不 + 可 + 泳 + 思	不 + 可 + hyuang + 思	b	泳	0 0 42 0
138	9	漢廣	9.3	7	江之b[hyuang]永矣	江 + 之 + 永 + 矣	江 + 之 + hyuang + 矣	b	永	0 0 42 0
139	9	漢廣	9.3	8	不可b[piuang]方思。（阳部）	不 + 可 + 方 + 思	不 + 可 + piuang + 思	b	方	0 0 42 0
140	10	汝墳	10.1	1	遵彼汝墳	遵 + 彼 + 汝 + 墳	遵 + 彼 + 汝 + 墳			0 0 0 0
141	10	汝墳	10.1	2	伐其條a[muəi]枚。	伐 + 其 + 條 + 枚	伐 + 其 + 條 + muəi	a	枚	0 0 0 43
142	10	汝墳	10.1	3	未見君子	未 + 見 + 君 + 子	未 + 見 + 君 + 子			0 0 0 0
143	10	汝墳	10.1	4	惄如調a[kiei]飢。（微脂合韵）	惄 + 如 + 調 + 飢	惄 + 如 + 調 + kiei	a	飢	0 0 0 43
144	10	汝墳	10.2	1	遵彼汝墳	遵 + 彼 + 汝 + 墳	遵 + 彼 + 汝 + 墳			0 0 0 0
145	10	汝墳	10.2	2	伐其條a[jiet]肄。	伐 + 其 + 條 + 肄	伐 + 其 + 條 + jiet	a	肄	0 0 0 44
146	10	汝墳	10.2	3	既見君子	既 + 見 + 君 + 子	既 + 見 + 君 + 子			0 0 0 0
147	10	汝墳	10.2	4	不我遐a[khiet]棄。（质部）	不 + 我 + 遐 + 棄	不 + 我 + 遐 + khiet	a	棄	0 0 0 44
148	10	汝墳	10.3	1	魴魚赬a[miuəi]尾	魴 + 魚 + 赬 + 尾	魴 + 魚 + 赬 + miuəi	a	尾	0 0 0 45
149	10	汝墳	10.3	2	王室如a[xiuəi]燬。	王 + 室 + 如 + 燬	王 + 室 + 如 + xiuəi	a	燬	0 0 0 45
150	10	汝墳	10.3	3	雖則如a[xiuəi]燬	雖 + 則 + 如 + 燬	雖 + 則 + 如 + xiuəi	a	燬	0 0 0 45
151	10	汝墳	10.3	4	父母孔a[njiei]邇。（微脂合韵）	父 + 母 + 孔 + 邇	父 + 母 + 孔 + njiei	a	邇	0 0 0 45
152	11	麟之趾	11.1	1	麟之a[tjiə]趾	麟 + 之 + 趾	麟 + 之 + tjiə	a	趾	0 0 46
153	11	麟之趾	11.1	2	振振公a[tziə]子。（之部）	振 + 振 + 公 + 子	振 + 振 + 公 + tziə	a	子	0 0 0 46
154	11	麟之趾	11.1	3	于嗟B[lien]麟兮。	于 + 嗟 + 麟 + 兮	于 + 嗟 + lien + 兮	B	麟	0 0 47 0
155	11	麟之趾	11.2	1	麟之a[dyeng]定	麟 + 之 + 定	麟 + 之 + dyeng	a	定	0 0 48
156	11	麟之趾	11.2	2	振振公a[sieng]姓。（耕部）	振 + 振 + 公 + 姓	振 + 振 + 公 + sieng	a	姓	0 0 0 48
157	11	麟之趾	11.2	3	于嗟B[lien]麟兮。	于 + 嗟 + 麟 + 兮	于 + 嗟 + lien + 兮	B	麟	0 0 49 0
158	11	麟之趾	11.3	1	麟之a[keok]角	麟 + 之 + 角	麟 + 之 + keok	a	角	0 0 50
159	11	麟之趾	11.3	2	振振公a[dzok]族。（屋部）	振 + 振 + 公 + 族	振 + 振 + 公 + dzok	a	族	0 0 0 50
160	11	麟之趾	11.3	3	于嗟B[lien]麟兮。（真部）	于 + 嗟 + 麟 + 兮	于 + 嗟 + lien + 兮	B	麟	0 0 51 0
161	11	麟之趾	11.8	1	召南	召 + 南	召 + 南			0 0
162	12	鵲巢	12.1	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢			0 0 0 0
163	12	鵲巢	12.1	2	維鳩a[kia]居之。	維 + 鳩 + 居 + 之	維 + 鳩 + kia + 之	a	居	0 0 52 0
164	12	鵲巢	12.1	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
165	12	鵲巢	12.1	4	百兩a[ngiak]御之。（鱼铎通韵）	百 + 兩 + 御 + 之	百 + 兩 + ngiak + 之	a	御	0 0 52 0
166	12	鵲巢	12.2	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢			0 0 0 0
167	12	鵲巢	12.2	2	維鳩a[piuang]方之。	維 + 鳩 + 方 + 之	維 + 鳩 + piuang + 之	a	方	0 0 53 0
168	12	鵲巢	12.2	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
169	12	鵲巢	12.2	4	百兩a[tziang]將之。（阳部）	百 + 兩 + 將 + 之	百 + 兩 + tziang + 之	a	將	0 0 53 0
170	12	鵲巢	12.3	1	維鵲有巢	維 + 鵲 + 有 + 巢	維 + 鵲 + 有 + 巢			0 0 0 0
171	12	鵲巢	12.3	2	維鳩a[jieng]盈之。	維 + 鳩 + 盈 + 之	維 + 鳩 + jieng + 之	a	盈	0 0 54 0
172	12	鵲巢	12.3	3	之子于歸	之 + 子 + 于 + 歸	之 + 子 + 于 + 歸			0 0 0 0
173	12	鵲巢	12.3	4	百兩a[zjieng]成之。（耕部）	百 + 兩 + 成 + 之	百 + 兩 + zjieng + 之	a	成	0 0 54 0
174	13	采蘩	13.1	1	于以采蘩	于 + 以 + 采 + 蘩	于 + 以 + 采 + 蘩			0 0 0 0
175	13	采蘩	13.1	2	于沼于a[tjiə]沚。	于 + 沼 + 于 + 沚	于 + 沼 + 于 + tjiə	a	沚	0 0 0 55
176	13	采蘩	13.1	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之			0 0 0 0
177	13	采蘩	13.1	4	公侯之a[dzhiə]事。（之部）	公 + 侯 + 之 + 事	公 + 侯 + 之 + dzhiə	a	事	0 0 0 55
178	13	采蘩	13.2	1	于以采蘩	于 + 以 + 采 + 蘩	于 + 以 + 采 + 蘩			0 0 0 0
179	13	采蘩	13.2	2	于澗之a[tiuəm]中。	于 + 澗 + 之 + 中	于 + 澗 + 之 + tiuəm	a	中	0 0 0 56
180	13	采蘩	13.2	3	于以用之	于 + 以 + 用 + 之	于 + 以 + 用 + 之			0 0 0 0
181	13	采蘩	13.2	4	公侯之a[kiuəm]宮。（侵部）	公 + 侯 + 之 + 宮	公 + 侯 + 之 + kiuəm	a	宮	0 0 0 56
182	13	采蘩	13.3	1	被之僮a[dong]僮	被 + 之 + 僮 + 僮	被 + 之 + 僮 + dong	a	僮	0 0 0 57
183	13	采蘩	13.3	2	夙夜在a[kong]公。（东部）	夙 + 夜 + 在 + 公	夙 + 夜 + 在 + kong	a	公	0 0 0 57
184	13	采蘩	13.3	3	被之祁b[giei]祁	被 + 之 + 祁 + 祁	被 + 之 + 祁 + giei	b	祁	0 0 0 58
185	13	采蘩	13.3	4	薄言還b[kiuəi]歸。（脂微合韵）	薄 + 言 + 還 + 歸	薄 + 言 + 還 + kiuəi	b	歸	0 0 0 58
186	14	草蟲	14.1	1	喓喓草a[diuəm]蟲	喓 + 喓 + 草 + 蟲	喓 + 喓 + 草 + diuəm	a	蟲	0 0 0 59
187	14	草蟲	14.1	2	趯趯阜a[tjiuəm]螽	趯 + 趯 + 阜 + 螽	趯 + 趯 + 阜 + tjiuəm	a	螽	0 0 0 59
188	14	草蟲	14.1	3						
189	14	草蟲	14.1	4	未見君b[tziə]子	未 + 見 + 君 + 子	未 + 見 + 君 + tziə	b	子	0 0 0 60
190	14	草蟲	14.1	5	憂心忡a[thiuəm]忡。（a= 侵部）	憂 + 心 + 忡 + 忡	憂 + 心 + 忡 + thiuəm	a	忡	0 0 0 59
191	14	草蟲	14.1	6	亦既見b[tjiə]止	亦 + 既 + 見 + 止	亦 + 既 + 見 + tjiə	b	止	0 0 0 60
192	14	草蟲	14.1	7	亦既覯b[tjiə]止	亦 + 既 + 覯 + 止	亦 + 既 + 覯 + tjiə	b	止	0 0 0 60
193	14	草蟲	14.1	8	我心則a[hoəm]降。（b= 之部）	我 + 心 + 則 + 降	我 + 心 + 則 + hoəm	a	降	0 0 0 59
194	14	草蟲	14.2	1	陟彼南山	陟 + 彼 + 南 + 山	陟 + 彼 + 南 + 山			0 0 0 0
195	14	草蟲	14.2	2	言采其a[kiuat]蕨。	言 + 采 + 其 + 蕨	言 + 采 + 其 + kiuat	a	蕨	0 0 0 61
196	14	草蟲	14.2	3	未見君b[tziə]子	未 + 見 + 君 + 子	未 + 見 + 君 + tziə	b	子	0 0 0 62
197	14	草蟲	14.2	4	憂心惙a[tiuat]惙。（a= 月部）	憂 + 心 + 惙 + 惙	憂 + 心 + 惙 + tiuat	a	惙	0 0 0 61
